network,stations,st_lon,st_lat,st_elv,gr_cir_distance,rhypo,repi,mag,origint,Parrtime,collecttime,endtime,evlat,evlon,evdepth,channels
TA,F04D,-123.010803,46.082901,236.0,132.67095263862768,134.45007130553304,132.67095263871033,3.1,2014-12-19T14:01:07.370000Z,21.367791849461824,2014-12-19T14:01:18.737792Z,2014-12-19T14:04:18.737792Z,44.9546,-123.5652,21800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,366.7934145926515,367.11656049386914,366.7934145930768,2.9,2014-12-17T01:18:51.730000Z,51.03782046253889,2014-12-17T01:19:32.767820Z,2014-12-17T01:22:32.767820Z,43.0881,-124.9538,15400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,96.35830473967656,96.53876367736063,96.35830473993038,2.7,2014-11-19T17:28:39.850000Z,16.63677313218579,2014-11-19T17:28:46.486773Z,2014-11-19T17:31:46.486773Z,45.7447,-121.8672,5900.0,BH*
TA,F04D,-123.010803,46.082901,236.0,212.34899123325883,212.71072863817147,212.3489912332569,2.6,2014-11-12T11:50:43.190000Z,32.2969929830281,2014-11-12T11:51:05.486993Z,2014-11-12T11:54:05.486993Z,44.1734,-122.9135,12400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,116.8002468607306,118.19436393808604,116.8002468607354,2.5,2014-10-31T16:27:41.050000Z,19.6270776596818,2014-10-31T16:27:50.677078Z,2014-10-31T16:30:50.677078Z,45.0373,-123.1609,18100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,226.9974899093771,227.2176498983263,226.9974899097309,3.1,2014-10-27T07:41:40.440000Z,34.396537445107214,2014-10-27T07:42:04.836537Z,2014-10-27T07:45:04.836537Z,44.3208,-124.4721,10000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,109.31840526930492,113.04845744473592,109.31840526935191,2.7,2014-09-24T15:17:32.400000Z,17.84363149426595,2014-09-24T15:17:40.243631Z,2014-09-24T15:20:40.243631Z,45.1385,-122.6192,28800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,162.54023119009773,173.2955185669463,162.54023119027127,2.8,2014-09-24T11:59:40.160000Z,24.150944132060832,2014-09-24T11:59:54.310944Z,2014-09-24T12:02:54.310944Z,44.7597,-123.8954,60100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,56.06765122341812,58.013718323577336,56.06765122356538,3.0,2014-09-16T12:43:41.400000Z,9.991404168446255,2014-09-16T12:43:41.391404Z,2014-09-16T12:46:41.391404Z,46.3297,-122.3772,14900.0,BH*
TA,F04D,-123.010803,46.082901,236.0,126.2520100670122,126.69621164838526,126.2520100673745,2.5,2014-09-04T08:52:01.570000Z,21.662436800624896,2014-09-04T08:52:13.232437Z,2014-09-04T08:55:13.232437Z,45.3693,-121.7489,10600.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.09546146582741,65.1031420398838,65.09546146595234,2.5,2014-08-03T14:26:14.800000Z,11.22372525875358,2014-08-03T14:26:16.023725Z,2014-08-03T14:29:16.023725Z,46.196,-122.1842,1000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,301.42824463026983,301.4664602589422,301.42824463055285,2.6,2014-07-21T18:50:15.620000Z,44.22590148530797,2014-07-21T18:50:49.845901Z,2014-07-21T18:53:49.845901Z,43.5802,-121.5406,4800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,446.89616188707913,446.9808379669438,446.8961618873352,2.5,2014-07-15T21:44:01.960000Z,61.74543483793553,2014-07-15T21:44:53.705435Z,2014-07-15T21:47:53.705435Z,42.2374,-121.3731,8700.0,BH*
TA,F04D,-123.010803,46.082901,236.0,260.7770872420048,261.1211389957194,260.7770872420002,2.5,2014-05-27T21:00:27.920000Z,38.16686211397448,2014-05-27T21:00:56.086862Z,2014-05-27T21:03:56.086862Z,43.737,-123.0911,13400.0,BH*
