evlon,evlats,evdepth,evM,evorigint
-123.0911,43.737,13400.0,2.5,2014-05-27T21:00:27.920000Z
-123.7236,42.0876,28800.0,2.6,2014-04-27T14:44:16.060000Z
-122.8684,45.3911,10300.0,3.4,2014-04-07T03:33:11.360000Z
-122.3565,41.5787,18200.0,2.7,2014-02-21T09:02:22.500000Z
-122.8222,45.9349,17900.0,2.9,2014-01-26T17:31:32.720000Z
-122.2962,46.3158,7600.0,2.7,2014-01-25T16:58:24.990000Z
-123.9653,42.5856,3100.0,3.9,2014-01-24T13:53:28.520000Z
-120.5221,43.2388,12800.0,2.6,2013-12-25T02:28:59.540000Z
-120.5087,43.2271,13000.0,2.7,2013-12-25T02:07:10.090000Z
-122.4024,46.3242,5800.0,2.7,2013-11-18T15:26:17.140000Z
-122.3905,46.3247,15100.0,2.5,2013-08-31T04:14:01.300000Z
-122.379,46.3235,14300.0,2.8,2013-08-24T01:12:48.400000Z
-122.3897,46.323,14500.0,3.4,2013-08-24T01:08:08.300000Z
-122.4237,46.3433,14000.0,3.8,2013-08-23T21:38:35.040000Z
-121.7331,45.3065,1800.0,2.5,2013-08-14T17:35:28.250000Z
-122.3875,46.2991,14900.0,2.5,2013-08-08T19:13:22.100000Z
-122.3907,46.327,14500.0,3.2,2013-08-03T02:11:16.200000Z
-122.3273,46.3808,18500.0,2.5,2013-07-09T07:48:11.450000Z
-120.913,43.646,13700.0,2.5,2013-06-30T04:44:10.900000Z
-122.245,43.149,1800.0,2.8,2013-06-09T15:34:23.290000Z
-122.479,45.813,9100.0,2.5,2013-05-25T16:40:50.900000Z
-122.164,46.124,6000.0,2.7,2013-05-21T08:03:05.900000Z
-124.915,45.09,39200.0,2.6,2013-05-05T10:14:46.290000Z
-122.822,45.456,25800.0,2.5,2013-04-19T14:21:33.900000Z
-121.2564,42.0175,16800.0,3.0,2013-04-19T03:24:01.190000Z
-122.407,42.602,4300.0,2.6,2013-03-25T20:55:29.790000Z
-122.405,42.617,9200.0,2.8,2013-03-24T19:28:13.590000Z
-122.401,42.618,5800.0,2.7,2013-03-24T18:46:05.000000Z
-122.402,42.614,9200.0,2.5,2013-03-24T12:28:54.400000Z
-122.41,42.612,15700.0,3.2,2013-03-24T11:39:04.500000Z
-122.403,42.621,9500.0,2.6,2013-03-24T08:00:11.090000Z
-122.2167,46.2818,10200.0,2.7,2013-01-31T04:01:12.980000Z
-122.388,45.9223,10500.0,3.7,2013-01-31T01:03:16.960000Z
-124.607,44.466,40000.0,2.9,2013-01-25T08:58:33.790000Z
-124.7353,44.3922,18200.0,2.8,2013-01-25T04:27:41.680000Z
-124.867,44.476,6200.0,3.4,2013-01-25T03:43:05.200000Z
-124.669,44.457,33800.0,2.9,2013-01-25T00:41:11.590000Z
-122.766,45.652,18200.0,2.9,2012-12-24T00:25:25.200000Z
-122.764,45.649,19000.0,3.3,2012-11-19T14:15:09.500000Z
-121.253,44.037,0.0,2.8,2012-11-14T00:49:54.200000Z
-122.184,46.194,1200.0,2.6,2012-11-13T19:52:00.400000Z
-124.152,45.026,38200.0,2.9,2012-11-08T09:58:28.000000Z
-124.149,45.025,39000.0,2.9,2012-11-03T23:54:43.590000Z
-122.112,46.232,9400.0,2.6,2012-09-28T13:46:00.790000Z
-124.383,43.363,28100.0,2.6,2012-09-22T20:15:31.590000Z
-122.6672,45.1408,2600.0,3.5,2012-09-08T04:57:43.140000Z
-121.318,43.778,100.0,2.5,2012-09-01T17:30:36.070000Z
-124.524,42.411,11300.0,2.5,2012-07-03T04:11:30.400000Z
-122.945,45.681,8800.0,3.0,2012-06-05T20:35:34.480000Z
-124.384,44.596,17600.0,2.9,2012-04-18T15:21:00.000000Z
-122.344,45.694,2800.0,2.8,2012-04-13T20:23:59.260000Z
-121.708,45.185,6000.0,2.8,2012-04-08T17:16:27.900000Z
-124.4899,44.4067,10000.0,3.1,2012-03-20T09:28:36.620000Z
-124.438,44.361,29500.0,3.2,2012-03-20T08:43:47.350000Z
-124.4455,44.3558,26100.0,3.3,2012-03-12T11:37:21.950000Z
